17	16	17	17	17	16	16	16	17	16	15	15	16	16	15	16	17	16	14	15	15	18	16	15	16	15	14	15	15	15	16	15	15	15	14	14	14	15	15	15	14	15	14	17	15	15	14	15	16	15
17	17	18	17	16	16	17	18	16	16	15	16	17	16	15	16	15	16	15	15	16	17	17	15	16	16	16	16	15	15	15	15	15	15	14	15	15	15	15	15	15	15	15	15	15	14	15	15	14	15
16	16	17	17	16	16	16	16	16	16	16	17	16	16	15	16	16	17	17	17	17	16	17	16	15	16	15	16	16	16	15	15	16	16	15	16	15	16	15	14	15	14	15	14	14	14	15	16	15	17
18	17	16	15	16	16	17	18	16	17	16	16	15	16	17	17	16	16	15	17	17	17	17	17	15	17	16	17	16	16	17	17	18	16	17	16	15	15	15	15	15	15	14	15	14	14	15	15	14	16
17	17	17	16	17	16	17	17	17	16	16	18	16	16	17	18	17	17	24	17	16	17	16	16	16	17	17	17	16	16	17	16	16	15	16	17	16	15	15	15	16	16	15	14	14	16	16	15	15	15
17	18	18	22	33	17	17	17	17	17	16	17	17	16	18	16	17	18	16	16	17	18	18	18	17	18	16	16	17	17	16	17	17	17	17	16	16	16	17	16	16	15	15	14	14	15	15	16	16	17
18	16	17	17	18	17	19	17	18	19	17	17	17	16	16	17	18	18	17	17	18	18	19	19	15	18	19	17	18	18	18	17	18	18	17	16	15	16	15	15	16	16	15	15	14	14	14	15	15	16
17	16	18	18	19	17	17	17	17	18	17	17	18	17	17	17	19	19	19	19	19	20	20	20	18	20	22	20	20	20	20	19	20	19	17	17	17	16	16	16	15	15	16	15	16	16	16	15	14	15
18	18	18	18	18	18	17	18	18	18	18	18	19	17	18	19	20	21	21	22	22	23	24	22	22	23	23	21	23	22	22	21	20	19	19	18	18	18	17	15	16	16	16	15	15	16	15	16	15	15
18	17	18	18	19	18	18	16	18	18	19	20	21	21	20	19	23	22	24	25	25	27	28	29	29	28	29	27	27	26	23	25	22	21	18	20	20	18	18	18	17	15	16	14	14	14	16	15	15	16
17	17	17	18	17	16	16	18	17	16	18	20	21	20	22	21	24	26	28	31	33	35	38	38	37	39	36	37	34	31	28	26	25	24	21	20	20	19	16	16	18	16	16	15	15	15	15	16	15	16
18	18	18	17	17	18	19	19	18	19	18	19	21	24	23	26	28	30	34	39	43	45	47	47	49	51	50	50	46	43	36	34	30	28	23	23	21	19	19	18	18	16	16	15	16	15	16	16	16	18
22	21	17	16	17	16	16	19	18	19	20	19	21	22	27	31	34	41	42	47	54	58	61	63	67	68	65	63	61	59	58	49	41	35	28	25	23	20	20	19	19	17	16	16	15	17	14	16	16	16
17	18	17	17	17	17	17	20	20	19	21	21	25	27	31	39	44	47	53	60	68	81	85	89	93	100	98	96	90	81	76	69	58	48	36	32	25	24	22	19	19	18	16	17	15	15	15	15	15	16
18	21	17	18	18	18	18	20	20	20	20	25	28	35	41	44	52	59	67	80	94	111	121	132	134	143	146	145	131	124	107	93	80	71	54	39	32	26	23	23	21	19	19	16	16	15	17	16	16	16
18	17	18	18	18	17	19	20	20	22	22	27	33	39	49	55	65	78	94	114	137	157	182	189	200	210	210	194	183	168	156	135	112	97	75	57	40	32	27	24	20	20	19	18	16	16	15	16	16	18
19	19	20	18	19	19	20	21	24	22	25	33	41	50	56	69	84	106	130	161	182	211	238	258	252	265	263	258	249	237	213	188	158	130	97	79	57	39	30	26	24	21	18	17	17	18	17	16	15	18
19	19	19	19	18	18	19	21	22	25	28	35	47	57	72	87	112	144	172	211	242	274	289	302	296	317	314	318	301	284	265	234	210	171	139	109	79	50	35	28	23	21	20	18	17	16	17	16	17	16
16	16	18	19	21	20	21	22	24	26	32	43	54	65	85	111	150	186	224	261	296	311	328	349	345	358	351	346	343	326	315	289	257	230	181	139	105	69	43	31	25	22	20	18	18	17	18	17	16	15
